Id,Location,Latitude,Longitude,Fatalities
581,Ajdabiya,30.75545,20.22626,2
582,Ajdabiya,30.75545,20.22626,5
583,Ajdir,35.202032,-3.911639,0
584,Ajdir,35.202032,-3.911639,0
585,Ajdir,35.202032,-3.911639,0
586,Ajir,11.0441,12.6566,5
587,Ajwok,8.23,28.6,17
588,Akaki Beseka,8.86667,38.78333,0
589,Akbou,36.4575,4.53494,0
590,Akbou,36.4575,4.53494,0
591,Akbou,36.4575,4.53494,0
592,Akbou,36.4575,4.53494,0
593,Akbou,36.4575,4.53494,0
594,Akbou,36.4575,4.53494,0
595,Akbou,36.4575,4.53494,1
596,Akbou,36.4575,4.53494,1
597,Akbou,36.4575,4.53494,1
598,Akobo,7.779,33.00233,0
599,Akobo,7.779,33.00233,0
600,Akobo,7.779,33.002333,0
601,Akobo,7.779,33.002333,6
602,Akobo,7.779,33.002333,6
603,Akobo,7.779,33.002333,6
604,Akowonjo,6.610119,3.309676,0
605,Akure,7.25256,5.193118,0
606,Akure,7.25256,5.193118,0
607,Akure,7.25256,5.193118,0
608,Akure,7.25256,5.193118,0
609,Akure,7.25256,5.193118,0
610,Akure,7.25256,5.193118,0
611,Akure,7.25256,5.193118,0
612,Akure,7.25256,5.19312,0
613,Akure,7.25256,5.19312,0
614,Akure,7.25256,5.19312,0
615,Akure,7.25256,5.19312,0
616,Akure,7.25256,5.19312,0
617,Akure,7.25256,5.19312,0
618,Akure,7.25256,5.19312,1
619,Akure,7.25256,5.19312,3
620,Akwanga,8.91667,8.38333,1
621,Akwaya,6.381258,9.510845,1
622,Akwukwu-Igbo,6.355421,6.591061,5
623,Al Abbasiya,12.170401,31.30858,0
624,Al Abbasiya,12.170401,31.30858,0
625,Al Abbasiya,12.170401,31.30858,2
626,Al Abbasiya,12.170401,31.30858,2
627,Al Abraq,32.7859,21.988,0
628,Al Abyar,32.19132,20.5967,36
629,Al Agheila,30.25984,19.19747,0
630,Al Agheila,30.25984,19.19747,10
631,Al Amiriyah,31.012515,29.808575,0
632,Al Arish,31.13159,33.79844,0
633,Al Arish,31.13159,33.79844,0
634,Al Arish,31.13159,33.79844,0
635,Al Arish,31.13159,33.79844,0
636,Al Arish,31.13159,33.79844,0
637,Al Arish,31.13159,33.79844,0
638,Al Arish,31.13159,33.79844,0
639,Al Arish,31.13159,33.79844,0
640,Al Arish,31.13159,33.79844,0
641,Al Arish,31.13159,33.79844,0
642,Al Arish,31.13159,33.79844,0
643,Al Arish,31.13159,33.79844,0
644,Al Arish,31.13159,33.79844,0
645,Al Arish,31.13159,33.79844,0
646,Al Arish,31.13159,33.79844,0
647,Al Arish,31.13159,33.79844,0
648,Al Arish,31.13159,33.79844,0
